country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,Notes 2000,Source 2000,Notes 2001,Source 2001,Notes 2002,Source 2002,Notes 2003,Source 2003,Notes 2004,Source 2004,Notes 2005,Source 2005,Notes 2006,Source 2006,Notes 2007,Source 2007,Notes 2008,Source 2008,Notes 2009,Source 2009,Notes 2010,Source 2010,Notes 2011,Source 2011,Notes 2012,Source 2012,Notes 2013,Source 2013,Notes 2014,Source 2014,Notes 2015,Source 2015,Notes 2016,Source 2016
Turkey,3.76,5.19,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.07,45.13,46.25,51.04,53.74,58.35,10.6,Population age 16-74.,Türk Telekomünikasyon A.S.,Population age 16-74.,Türk Telekomünikasyon A.S.,Population age 16-74.,ITU estimate.,Population age 16-74.,ITU estimate.,Population age 16-74 in the last 12 months.,Eurostat.,Population age 16-74 in the last 12 months.,Eurostat.,Estimated based on % of Internet users as reported in surveys in 2005 and 2007.,Telecommunications Authority.,Population age 16-74 in the last 12 months.,Eurostat.,Population age 16-74 in the last 12 months.,Turkish Statistical Institution.,Population age 16-74 in the last 12 months.,Turkish Statistical Institution.,Population age 16-74 in the last 12 months.,Information and Communication Technologies Authority (ICTA),Population age 16-74 in the last 12 months.,Turkish Statistical Institute,Population age 16-74 in the last 12 months.,Turkish Statistical Institute,Population age 16-74 in the last 12 months.,Turkish Statistical Institute,Population age 16-74 in the last 12 months.,Eurostat.,Population age 16-74.,Turkish Statistical Institute.,,Turkish Statistical Institute.
Turkmenistan,0.13,0.18,0.3,0.43,0.75,1,1.32,1.41,1.75,1.95,3,5,7.2,9.6,12.2,15,17.99,10.6,,Ministry of Communications.,,Ministry of Communications.,,ITU estimate.,,ITU estimate.,,Ministry of Communications.,,ITU estimate.,,Ministry of Communications.,,Ministry of Communications.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Turks & Caicos Is.,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,5.24,,,,,,,10,15,20,25,30,35,37,39.2,42.7,46.01,10.6,,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Uganda,0.16,0.24,0.38,0.46,0.72,1.74,2.53,3.67,7.9,9.78,12.5,13.01,14.1,15.5,16.9,17.83,21.88,10.6,,,,,,,,,,,,,,,,Uganda Communications Commission (UCC).,,Uganda Communications Commission,,Uganda Communications Commission,,Uganda Communications Commission,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Ukraine,0.72,1.24,1.87,3.15,3.49,3.75,4.51,6.55,11,17.9,23.3,28.71,35.27,40.95,46.24,48.88,52.48,10.6,,State Department of Communications & Information Technology.,,RCC.,,RCC.,,State Department of Communications & Information Technology.,,State Department of Communications & Information Technology.,Population age 15-59 who used the Internet in the last 4 weeks.,Estimate.,,State Department of Communications & Information Technology.,,State Statistics Committee of Ukraine,,State Statistics Committee of Ukraine,,State Service of Special Communications and Information Protection of Ukraine,,State Statistics Service of Ukraine,Refers to total population.,State Statistics Service of Ukraine,,State Statistics Service of Ukraine,All population,State Statistics Service of Ukraine,All population,State Statistics Service of Ukraine,All population.,State Statistics Service of Ukraine,,ITU Estimate.
United Arab Emirates,23.63,26.27,28.32,29.48,30.13,40,52,61,63,64,68,78,85,88,90.4,90.5,90.6,10.6,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,Refers to the total population. ,ITU estimate. ,Refers to the total population. ,ITU estimate. ,Refers to the total population. ,Telecommunications Regulatory Authority (TRA),Break in comparability. Population age 15-74 in the last 3 months (exc. population living in working camps).,ITU estimate based on TRA. ,Population age 15-74 in the last 3 months.,Telecommunications Regulatory Authority ,,ITU estimate.,Population age 15-74 in the last 3 months.,Telecommunications Regulatory Authority (TRA),,ITU estimate.,Population age 15-74 in the last 3 months.,Federal Competitiveness and Statistics Authorithy.
United Kingdom,26.82,33.48,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.38,87.48,89.84,91.61,92,94.78,10.6,Population age 16+ using internet in the last 3 months.,ONS.,Population age 16+ using the Internet in the last 3 months.,ONS.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat., Users in the last 3 months. Age 16-74.,Eurostat., Users in the last 3 months.,,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat.,,Eurostat.
United States,43.08,49.08,58.79,61.7,64.76,67.97,68.93,75,74,71,71.69,69.73,74.7,71.4,73,74.55,76.18,10.6,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Federal Communications Commission,"Pew Internet Project, ""Internet, Broadband and cell phone statistics,” January 5, 2010, http://www.pewinternet.org/~/media//Files/Reports/2010/PIP_December09_update.pdf.  ",Federal Communications Commission,Populatio age 3+.,Federal Communications Commission,Populatio age 3+.,Federal Communications Commission,Populatio age 3+.,United States Census Bureau,Population age 3+.,US Census Bureau,Population age 3+.,US Census Bureau,,ITU estimate.,Population age 3+.,US Census Bureau,,ITU Estimate.
Uruguay,10.54,11.12,11.42,15.94,17.06,20.09,29.4,34,39.3,41.8,46.4,51.4,54.45,57.69,61.46,64.6,66.4,10.6,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,,Estimated based on Survey's results. Population age 6+.,ITU estimate.,Population age 6+.,Instituto Nacional de Estadística (INE).,Population age 6+.,Instituto Nacional de Estadística (INE).,Population age 6+.,Unidad Reguladora de Servicios de Comunicaciones,Population age 6+.,Instituto Nacional de Estadistica.,Population age 6+.,Instituto Nacional de Estadistica.,Population age 6+.,Instituto Nacional de Estadistica.,Population age 6+.,Instituto Nacional de Estadistica.,Population age 6+.,Instituto Nacional de Estadistica.,,Instituto Nacional de Estadistica.
Uzbekistan,0.48,0.6,1.08,1.91,2.59,3.34,6.39,7.49,9.08,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.79,10.59572642,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,ITU estimate.,,Communication and Information Agency of Uzbekistan.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Vanuatu,2.11,2.83,3.51,3.9,4.75,5.08,5.85,6.8,7.27,7.5,8,9.2,10.6,11.3,18.8,22.35,24,10.59572642,,Vanuatu National Statistics Office.,,,,,,,,,,,,,,ITU estimate.,,Vanuatu National Statistics Office.,,ITU estimate. ,,Office of the Vanuatu Telecom Regulator,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Venezuela,3.36,4.64,4.91,7.5,8.4,12.55,15.22,20.83,25.88,32.7,37.37,40.22,49.05,54.9,57,61.87,60,10.59572642,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones CONATEL,,Comisión Nacional de Telecomunicaciones CONATEL,Country estimate.,Comisión Nacional de Telecomunicaciones CONATEL,Country estimate.,Comisión Nacional de Telecomunicaciones,Preliminary. Country estimate.,Comisión Nacional de Telecomunicaciones,,Instituto Nacional de Estadística,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Viet Nam,0.25,1.27,1.85,3.78,7.64,12.74,17.25,20.76,23.92,26.55,30.65,35.07,36.8,38.5,41,43.5,46.5,10.59572642,,Vietnam Post & Telecommunications Corp. (VNPT).,,Vietnam Post & Telecommunications Corp. (VNPT).,,Vietnam Post & Telecommunications Corp. (VNPT).,,Vietnam Post & Telecommunications Corp. (VNPT).,,Ministry of Posts and Telematics (MPT).,,Ministry of Posts and Telematics (MPT).,,Ministry of Posts and Telematics (MPT).,,Business Monitor International Report.,,Ministry of Information and Communications,,VNNIC,,Ministry of Information and Communications,,Ministry of Information and Communications,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Virgin Islands (US),13.82,18.38,27.49,27.43,27.38,27.34,27.33,27.34,27.36,27.4,31.22,35.6,40.55,45.3,50.07,54.84,59.61,10.59572642,,Virgin Islands Telephone Corporation (Vitelco).,,Virgin Islands Telephone Corporation (Vitelco).,,Virgin Islands Telephone Corporation (Vitelco).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Virgin Islands Telephone Corporation (Vitelco).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Wallis and Futuna,4.77,5.09,5.42,5.74,6.06,6.7,7.33,7.95,8.22,6.76,8.16,8.68,8.95,,,,,10.59572642,,,,,,,,,,,,,,,,Service des Postes et Télécommunications,,ITU estimate.,,Service des Postes et Telecommunications,,Service des Postes et Telecommunications,,Service des Postes et Telecommunications,,ITU estimate.,,,,,,,,
Yemen,0.08,0.09,0.52,0.6,0.88,1.05,1.25,5.01,6.89,9.96,12.35,14.91,17.45,20,22.55,24.09,24.58,10.59572642,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Telecommunications and Information Technology.,,,,ITU estimate.,,Ministry of Telecommunications and Information Technology.,,Ministry of Telecommunications and Information Technology.,,Ministry of Telecommunications and Information Technology,,Ministry of Telecommunications and Information Technology,,Ministry of Telecommunications and Information Technology,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Zambia,0.19,0.23,0.48,0.98,2.01,2.85,4.16,4.87,5.55,6.31,10,11.5,13.47,15.4,19,21,25.51,10.59572642,,Zambia Telecommunications Company Limited (Zamtel).,,Zambia Telecommunications Company Limited (Zamtel).,,Communications Authority.,,Communications Authority.,,Communications Authority.,,ITU estimate.,,Communications Authority.,,Communications Authority,,Communications Authority,,ITU estimate.,,ZICTA.,"The methodology used to estimated the figure for 2011 is based on Zambians in formal employment which stand slightly above 500, 000, schools and colleges connected to the internet as well as average number of Citizens that visit cyber cafes.  Nevertheless, this figure is not inclusive of mobile internet users as a survey is yet to be done.  ",ZICTA.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU Estimate.
Zimbabwe,0.4,0.8,1.1,1.8,2.1,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.36,22.74,23.12,10.59572642,,"PTC, ZISPA, ITU estimate.",,"PTC, ZISPA, ITU estimate.",,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,Population age 3+.,Zimbabwe National Statistics Agency (ZIMSTAT),,ITU Estimate.,,ITU Estimate.
